"# Location"	"CombatRate"	"LocationType"	"MaximizeHint"	"CombatMeat"	"CombatStats"	"AverageHP"	"MaxHP"	"AverageDefense"	"MaxDefense"	"AverageAttack"	"MaxAttack"	"NoncombatMuscle"	"NoncombatMoxie"	"NoncombatMystic"	"NoncombatMeat"	"CloverMuscle"	"CloverMoxie"	"CloverMys"	"CloverMeat"
8-Bit Realm	100	none		0	5.69444444444444	15	15	22.7777777777778	25	22.7777777777778	25	0	0	0	0	0	0	0	0
A Maze of Sewer Tunnels	95	clan_basement		0	21.6666666666667	259.666666666667	304	86.6666666666667	260	86.6666666666667	260	0	0	0	0	0	0	0	0
An Octopus's Garden	95	special		25	101.5625	725	1000	425	450	406.25	450	0	0	0	0	0	0	0	0
Anemone Mine	0	special		200	112.5	683.333333333333	750	533.333333333333	650	450	500	0	0	0	0	0	0	0	0
Arrrboretum	0	holiday		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astral Mushroom (Bad Trip)	100	item_based		0	5	20	20	20	20	20	20	0	0	0	0	0	0	0	0
Astral Mushroom (Great Trip)	100	item_based		0	36.25	150	150	145	145	145	145	0	0	0	0	0	0	0	0
Astral Mushroom (Mediocre Trip)	100	item_based		0	13.25	50	50	53	53	53	53	0	0	0	0	0	0	0	0
Atomic Crimbo Toy Factory	100	holiday		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Back 40	100	island_war		172.5	43.375	187.5	190	173.5	177	173.5	177	0	0	0	0	0	0	0	0
Barn	100	island_war		75	41.5	180	180	166	166	166	166	0	0	0	0	0	0	0	0
Barrel full of Barrels	0	special		0	6.25	35	45	25	35	25	35	0	0	0	0	0	0	0	0
Barrrney's Barrr	80	pirate		43.3333333333333	20.5	72.3333333333333	75	83	85	82	83	60 1 *  300 1 * + 10 /	60 1 * 10 /	60 1 * 10 /	0	0	0	0	0
Bat Hole Entryway	100	none		22.1666666666667	3.25	8	8	13	14	13	14	0	0	0	0	0	0	0	0
Batrat and Ratbat Burrow	100	none		23	6	21	22	24	25	24	25	0	0	0	0	0	0	0	0
Battlefield (Cloaca Uniform)	95	none		0	7.5	35	40	30	30	30	30	15 1 * 10 /	15 1 *  Moxie*2 50 min 1 * + 10 /	15 1 * 10 /	0	0	0	0	0
Battlefield (Dyspepsi Uniform)	95	none		0	7.5	35	40	30	30	30	30	15 1 * 10 /	15 1 *  Moxie*2 50 min 1 * + 10 /	15 1 * 10 /	0	0	0	0	0
Battlefield (Frat Uniform)	100	island_war		50.0625	41.0625	216.25	355	162.583333333333	220	164.25	220	0	0	0	0	0	0	0	0
Battlefield (Hippy Uniform)	100	island_war		45.75	36.4791666666667	204.583333333333	300	143.833333333333	205	145.916666666667	210	0	0	0	0	0	0	0	0
Battlefield (No Uniform)	0	island_war		0	0	0	0	0	0	0	0	15 1 * 10 /	15 1 *  Moxie*2 50 min 1 * + 10 /	15 1 * 10 /	0	0	0	0	0
Beanbat Chamber	100	none		35.5	5.25	18	18	21	21	21	21	0	0	0	0	0	0	0	0
Belowdecks	100	pirate		0	35	120	120	140	140	140	140	0	0	0	0	0	0	0	0
Black Forest	100	none		77.8	32.15	128.6	136	127.4	135	128.6	133	0	0	0	0	0	0	0	0
Bog	100	island_war		146.25	42.875	192.5	203	171.5	174	171.5	174	0	0	0	0	0	0	0	0
Boss Bat's Lair	100	none		125	7.875	38	40	29.5	33	31.5	37	0	0	0	0	0	0	0	0
Bugbear Pens	100	none		0	10.5416666666667	36.6666666666667	20	45.6666666666667	20	42.1666666666667	20	10 1 *  10 1 * + 11 /	10 1 *  10 1 * + 11 /	10 1 *  10 1 * + 11 /	50 1 *  75 1 * + 11 /	0	0	0	0
Burnbarrel Blvd.	0	clan_basement		0	87.5	500	500	350	350	350	350	0	0	0	0	0	0	0	0
Camp Logging Camp	80	none		23.625	9.125	36.5	40	36.5	40	36.5	40	15 1 * 4 /	15 1 * 4 /	15 1 * 4 /	100 1 *  100 1 * +  100 1 * + 4 /	0	0	0	0
Crimbo Town Toy Factory	100	holiday		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crimborg Collective Factory	100	holiday		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daily Dungeon	0	special		1.44444444444444	3.91666666666667	11	14	15.5555555555556	20	15.6666666666667	21	0	0	0	0	0	0	0	0
Dark Elbow of the Woods	95	none		36.6666666666667	11.5	46	48	40	46	46	48	0	0	0	0	0	0	0	0
Dark Heart of the Woods	95	none		35	11.5	46	50	46	50	46	50	0	0	0	0	0	0	0	0
Dark Neck of the Woods	95	none		20	11.1666666666667	44.6666666666667	52	44.6666666666667	52	44.6666666666667	52	0	0	0	150 1 * 2 /	0	0	0	0
Defiled Alcove	100	none		135.333333333333	15.9166666666667	74.6666666666667	124	61.6666666666667	71	63.6666666666667	79	50 1 * 2 /	0	0	0	0	0	0	0
Defiled Cranny	100	none		26	13.75	50	50	56	56	55	55	25 1 * 2 /	0	0	0	0	0	0	0
Defiled Niche	100	none		0	14.375	50	50	58.5	60	57.5	59	0	0	5 1 * 2 /	0	0	0	0	0
Defiled Nook	100	none		0	13.75	50	50	56	58	55	57	0	50 1 * 3 /	0	0	0	0	0	0
Degrassi Knoll	80	none		51.8333333333333	6.16666666666667	12.3333333333333	9	24.8888888888889	15	24.6666666666667	14	0	0	0	0	0	0	0	0
Desert (Ultrahydrated)	100	none		90.2	34.75	140.2	145	138.2	142	139	142	0	0	0	0	0	0	0	0
Desert (Unhydrated)	100	none										0	0	0	0	0	0	0	0
Dire Warren	100	none		0	0.25	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Drunken Stupor	100	special										-3 1 *  -1 1 * + 5 /	-3 1 *  -1 1 * + 5 /	-1 1 * 5 /	-10 1 *  3 1 * + 5 /	0	0	0	0
Dungeons of Doom	70	none		0	9.75	42.6	51	37.8	40	39	43	21 1 * 4 /	21 1 * 4 /	21 1 * 4 /	0	0	0	0	0
Dwarven Factory Warehouse	100	dwarf										0	0	0	0	0	0	0	0
El Vibrato Island	0	special		0	70.8333333333333	16966.6666666667	100000	283.333333333333	400	283.333333333333	400	0	0	0	0	0	0	0	0
Exposure Esplanade	0	clan_basement		0	87.5	500	500	350	350	350	350	0	0	0	0	0	0	0	0
F'c'le	80	pirate		31.5833333333333	25	90	90	98.3333333333333	100	100	100	50 1 * 4 /	100 1 *  50 1 * + 4 /	50 1 * 4 /	0	0	0	0	0
Family Plot	100	island_war		149.25	43.25	194.5	198	173	175	173	175	0	0	0	0	0	0	0	0
Fantasy Airship	80	none		113.833333333333	29.7916666666667	110.833333333333	110	119.166666666667	120	119.166666666667	120	0	0	0	0	0	0	0	0
Feeding Chamber	100	island_war		70.5	41.75	185	185	167	167	167	167	0	0	0	0	0	0	0	0
Fernswarthy's Basement	100	special										0	0	0	0	0	0	0	0
Fernswarthy's Ruins	100	none		23.75	4.83333333333333	8.5	9	17	18	19.3333333333333	24	0	0	0	0	0	0	0	0
Frat House	100	none		31.5	10	30	30	40	41	40	41	0	0	0	0	0	0	0	0
Frat House (Stone Age)	100	none		46.6666666666667	60	256.333333333333	320	240	255	240	255	0	0	0	0	0	0	0	0
Frat House In Disguise	0	none		0	0	0	0	0	0	0	0	15 1 *  16 1 * +  17 1 * +  16 1 * +  15 1 * +  20 1 * +  18 1 * +  16 1 * + 22 /	0	0	50 1 *  100 1 * + 22 /	0	0	0	0
Friar Ceremony Location	0	special		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Friar's Gate	95	none		30.7142857142857	11.5	46	52	43.4285714285714	52	46	52	0	50 1 * 8 /	0	150 1 * 8 /	0	0	0	0
Fun House	100	none		15.1666666666667	4.54166666666667	14	16	18.5	20	18.1666666666667	20	0	0	0	0	0	0	0	0
Generic Summer Holiday Swimming!	0	holiday		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Giant's Castle	75	none		150	33.5416666666667	150	150	134.166666666667	145	134.166666666667	145	0	0	0	0	0	0	0	0
Goat Party	0	special		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Goatlet	100	none		50.6666666666667	17	50	50	68	68	68	68	0	0	0	0	0	0	0	0
Granary	100	island_war		320	43.75	225	225	175	175	175	175	0	0	0	0	0	0	0	0
Greater-Than Sign	0	none		0	0	0	0	0	0	0	0	8 1 *  7 1 * + 9 /	7 1 *  8 1 * + 9 /	8 1 *  7 1 * + 9 /	-30 1 * 9 /	0	0	0	0
Grim Grimacite Site	100	none		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guano Junction	100	none		30.5	4.04166666666667	10	12	16	18	16.1666666666667	18	0	0	0	0	0	0	0	0
Guards' Chamber	100	island_war		100	42.25	190	190	169	169	169	169	0	0	0	0	0	0	0	0
Haert of the Cyrpt	100	none		0	22.5	120	120	90	90	90	90	0	0	0	0	0	0	0	0
Haiku Dungeon	90	none		17	0.9	5.4	6	4	6	3.6	4	0	0	0	0	0	0	0	0
Hatching Chamber	100	island_war		50.5	41.25	180	180	165	165	165	165	0	0	0	0	0	0	0	0
Haunted Ballroom	80	none		0	27.5	120	120	110	110	110	110	0	prime 150 min 1 * 2 /	0	0	0	2 prime * 330 min	0	0
